resume,job_description,role,matched_skills,label,match_level
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
6 months internship

Technical Skills:
Excel, Power BI, Python, SQL, Data Cleaning, Reporting, Statistics

Soft Skills:
Problem Solving, Analytical Thinking

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Excel, Power BI, Python, SQL, Data Cleaning, Reporting, Statistics

Preferred Soft Skills:
Communication, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Excel, Power BI, Python, SQL, Data Cleaning, Reporting, Statistics",2,Strong Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Data Science

Experience:
1 year experience

Technical Skills:
Express, CSS, REST API, MongoDB, Node.js

Soft Skills:
Teamwork, Communication

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
Express, CSS, REST API, MongoDB, HTML, Git, Node.js

Preferred Soft Skills:
Problem Solving, Analytical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"Express, CSS, REST API, MongoDB",1,Medium Match
"Candidate applying for Web Developer.

Education:
Master's degree in Artificial Intelligence

Experience:
2 years experience

Technical Skills:
Node.js, JavaScript, Git, REST API, MongoDB

Soft Skills:
Analytical Thinking, Teamwork

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
Node.js, JavaScript, Git, REST API, Bootstrap, CSS, React

Preferred Soft Skills:
Analytical Thinking, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"Node.js, JavaScript, Git, REST API",1,Medium Match
"Candidate applying for Cybersecurity Analyst.

Education:
Bachelor's degree in Data Science

Experience:
1 year experience

Technical Skills:
Ethical Hacking, Penetration Testing, Linux, Incident Response, Risk Assessment, Firewall, SIEM

Soft Skills:
Communication, Analytical Thinking

Completed several projects related to Cybersecurity Analyst.","We are hiring a Cybersecurity Analyst.

Required Skills:
Ethical Hacking, Penetration Testing, Linux, Incident Response, Risk Assessment, Firewall, SIEM

Preferred Soft Skills:
Communication, Analytical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, Linux, Incident Response, Risk Assessment, Firewall, SIEM",2,Strong Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Information Technology

Experience:
2 years experience

Technical Skills:
Statistics, Reporting, Python, Pandas, Power BI, Excel, Business Intelligence

Soft Skills:
Analytical Thinking, Time Management

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Statistics, Reporting, Python, Pandas, Power BI, Excel, Business Intelligence

Preferred Soft Skills:
Teamwork, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Statistics, Reporting, Python, Pandas, Power BI, Excel, Business Intelligence",2,Strong Match
"Candidate applying for Cybersecurity Analyst.

Education:
Bachelor's degree in Data Science

Experience:
1 year experience

Technical Skills:
Penetration Testing, SIEM, Linux, Risk Assessment, Cryptography, Firewall, Incident Response

Soft Skills:
Critical Thinking, Leadership

Completed several projects related to Cybersecurity Analyst.","We are hiring a Web Developer.

Required Skills:
Git, React, HTML, MongoDB, REST API, JavaScript, Express

Preferred Soft Skills:
Communication, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,,0,Weak Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Information Technology

Experience:
2 years experience

Technical Skills:
Business Intelligence, Python, SQL, Reporting, Excel, Pandas, Statistics

Soft Skills:
Time Management, Teamwork

Completed several projects related to Data Analyst.","We are hiring a Cloud Engineer.

Required Skills:
DevOps, CI/CD, AWS, Terraform, Python, Docker, Networking

Preferred Soft Skills:
Critical Thinking, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,,0,Weak Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Engineering

Experience:
2 years experience

Technical Skills:
HTML, Express, Git, REST API, React

Soft Skills:
Problem Solving, Leadership

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
HTML, Express, Git, REST API, MongoDB, JavaScript, Bootstrap

Preferred Soft Skills:
Leadership, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"HTML, Express, Git, REST API",1,Medium Match
"Candidate applying for AI Engineer.

Education:
Master's degree in Artificial Intelligence

Experience:
6 months internship

Technical Skills:
LLM, PyTorch, Python, Deep Learning, TensorFlow, Docker, Computer Vision

Soft Skills:
Time Management, Communication

Completed several projects related to AI Engineer.","We are hiring a Cybersecurity Analyst.

Required Skills:
Linux, Firewall, Ethical Hacking, Python, Incident Response, SIEM, Cryptography

Preferred Soft Skills:
Analytical Thinking, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",AI Engineer,,0,Weak Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Information Technology

Experience:
2 years experience

Technical Skills:
React, Bootstrap, HTML, CSS, Express, Git, JavaScript

Soft Skills:
Problem Solving, Communication

Completed several projects related to Web Developer.","We are hiring a Software Engineer.

Required Skills:
Data Structures, Git, Python, REST API, Algorithms, C++, OOP

Preferred Soft Skills:
Problem Solving, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,,0,Weak Match
